id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
oth561_basic_stat_buy_portfolio_num,Overall statistic for all users without grouping - The number of portfolios that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,13,19,1.9,[]
oth561_basic_stat_buy_rebalancing_num,Overall statistic for all users without grouping - The number of rebalancing actions that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,6,6,1.9,[]
oth561_basic_stat_buy_rebalancing_price_avg,Overall statistic for all users without grouping - Average price of rebalancing actions that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,2,2,1.9,[]
oth561_basic_stat_buy_rebalancing_price_median,Overall statistic for all users without grouping - Median price of rebalancing actions that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,2,2,1.9,[]
oth561_basic_stat_buy_rebalancing_share,Overall statistic for all users without grouping - Total shares of rebalancing actions that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,3,3,1.9,[]
oth561_basic_stat_buy_rebalancing_value,Overall statistic for all users without grouping - Total market value of rebalancing actions that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,3,3,1.9,[]
oth561_basic_stat_buy_rebalancing_weight,Overall statistic for all users without grouping - Total weight of rebalancing actions that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,2,2,1.9,[]
oth561_basic_stat_buy_user_num,Overall statistic for all users without grouping - The number of users that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,10,12,1.9,[]
oth561_basic_stat_first_buy_user_num,Overall statistic for all users without grouping - The number of users who buy the stock for the first time,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,2,2,1.9,[]
oth561_basic_stat_net_buy_portfolio_num,Overall statistic for all users without grouping - The number of portfolios that net buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,3,4,1.9,[]
oth561_basic_stat_net_buy_user_num,Overall statistic for all users without grouping - The number of users that net buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,4,4,1.9,[]
oth561_basic_stat_net_sell_portfolio_num,Overall statistic for all users without grouping - The number of portfolios that net sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,2,2,1.9,[]
oth561_basic_stat_net_sell_user_num,Overall statistic for all users without grouping - The number of users that net sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,4,5,1.9,[]
oth561_basic_stat_sell_portfolio_num,Overall statistic for all users without grouping - The number of portfolios that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,1,1,1.9,[]
oth561_basic_stat_sell_rebalancing_num,Overall statistic for all users without grouping - The number of rebalancing actions that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,0,0,1.9,[]
oth561_basic_stat_sell_rebalancing_price_avg,Overall statistic for all users without grouping - Average price of rebalancing actions that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,0,0,1.9,[]
oth561_basic_stat_sell_rebalancing_price_median,Overall statistic for all users without grouping - Median price of rebalancing actions that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,0,0,1.9,[]
oth561_basic_stat_sell_rebalancing_share,Overall statistic for all users without grouping - Total shares of rebalancing actions that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,1,1,1.9,[]
oth561_basic_stat_sell_rebalancing_value,Overall statistic for all users without grouping - Total market value of rebalancing actions that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,1,1,1.9,[]
oth561_basic_stat_sell_rebalancing_weight,Overall statistic for all users without grouping - Total weight of rebalancing actions that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,0,0,1.9,[]
oth561_basic_stat_sell_user_num,Overall statistic for all users without grouping - The number of users that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,3,3,1.9,[]
oth561_basic_stat_total_active_portfolio_num,Overall statistic for all users without grouping - The total number of active portfolios that trade(buy or sell) the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,5,5,1.9,[]
oth561_basic_stat_total_active_user_num,Overall statistic for all users without grouping - The total number of active users who trade(buy or sell) the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,6,6,1.9,[]
oth561_basic_stat_total_rebalancing_num,Overall statistic for all users without grouping - The total number of rebalancing actions that trade(buy or sell) the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,4,5,1.9,[]
oth561_basic_stat_total_rebalancing_share,Overall statistic for all users without grouping - Total shares of rebalancing actions that trade (buy or sell) the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,0,0,1.9,[]
oth561_basic_stat_total_rebalancing_value,Overall statistic for all users without grouping - Total market value of rebalancing actions trade(buy or sell) the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,MATRIX,1.0,1.0,2,2,1.9,[]
oth561_user_experience_division_buy_portfolio_num,Data grouped by user experience level based on trading days since first rebalancing - The number of portfolios that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,4,7,1.9,[]
oth561_user_experience_division_buy_rebalancing_num,Data grouped by user experience level based on trading days since first rebalancing - The number of rebalancing actions that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,1,1,1.9,[]
oth561_user_experience_division_buy_rebalancing_price_avg,Data grouped by user experience level based on trading days since first rebalancing - Average price of rebalancing actions that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,1,1,1.9,[]
oth561_user_experience_division_buy_rebalancing_price_median,Data grouped by user experience level based on trading days since first rebalancing - Median price of rebalancing actions that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,1,1,1.9,[]
oth561_user_experience_division_buy_rebalancing_share,Data grouped by user experience level based on trading days since first rebalancing - Total shares of rebalancing actions that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,1,1,1.9,[]
oth561_user_experience_division_buy_rebalancing_value,Data grouped by user experience level based on trading days since first rebalancing - Total market value of rebalancing actions that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,0,0,1.9,[]
oth561_user_experience_division_buy_rebalancing_weight,Data grouped by user experience level based on trading days since first rebalancing - Total weight of rebalancing actions that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,1,1,1.9,[]
oth561_user_experience_division_buy_user_num,Data grouped by user experience level based on trading days since first rebalancing - The number of users that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,4,4,1.9,[]
oth561_user_experience_division_first_buy_user_num,Data grouped by user experience level based on trading days since first rebalancing - The number of users who buy the stock for the first time,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,1,1,1.9,[]
oth561_user_experience_division_net_buy_portfolio_num,Data grouped by user experience level based on trading days since first rebalancing - The number of portfolios that net buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,0,0,1.9,[]
oth561_user_experience_division_net_buy_user_num,Data grouped by user experience level based on trading days since first rebalancing - The number of users that net buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,4,4,1.9,[]
oth561_user_experience_division_net_sell_portfolio_num,Data grouped by user experience level based on trading days since first rebalancing - The number of portfolios that net sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,1,1,1.9,[]
oth561_user_experience_division_net_sell_user_num,Data grouped by user experience level based on trading days since first rebalancing - The number of users that net sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,0,0,1.9,[]
oth561_user_experience_division_sell_portfolio_num,Data grouped by user experience level based on trading days since first rebalancing - The number of portfolios that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,0,0,1.9,[]
oth561_user_experience_division_sell_rebalancing_num,Data grouped by user experience level based on trading days since first rebalancing - The number of rebalancing actions that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,0,0,1.9,[]
oth561_user_experience_division_sell_rebalancing_price_avg,Data grouped by user experience level based on trading days since first rebalancing - Average price of rebalancing actions that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,0,0,1.9,[]
oth561_user_experience_division_sell_rebalancing_price_median,Data grouped by user experience level based on trading days since first rebalancing - Median price of rebalancing actions that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,0,0,1.9,[]
oth561_user_experience_division_sell_rebalancing_share,Data grouped by user experience level based on trading days since first rebalancing - Total shares of rebalancing actions that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,0,0,1.9,[]
oth561_user_experience_division_sell_rebalancing_value,Data grouped by user experience level based on trading days since first rebalancing - Total market value of rebalancing actions that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,1,1,1.9,[]
oth561_user_experience_division_sell_rebalancing_weight,Data grouped by user experience level based on trading days since first rebalancing - Total weight of rebalancing actions that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,1,1,1.9,[]
oth561_user_experience_division_sell_user_num,Data grouped by user experience level based on trading days since first rebalancing - The number of users that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,0,0,1.9,[]
oth561_user_experience_division_total_active_portfolio_num,Data grouped by user experience level based on trading days since first rebalancing - The total number of active portfolios that trade(buy or sell) the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,2,2,1.9,[]
oth561_user_experience_division_total_active_user_num,Data grouped by user experience level based on trading days since first rebalancing - The total number of active users who trade(buy or sell) the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,2,2,1.9,[]
oth561_user_experience_division_total_rebalancing_num,Data grouped by user experience level based on trading days since first rebalancing - The total number of rebalancing actions that trade(buy or sell) the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,1,1,1.9,[]
oth561_user_experience_division_total_rebalancing_share,Data grouped by user experience level based on trading days since first rebalancing - Total shares of rebalancing actions that trade (buy or sell) the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,0,0,1.9,[]
oth561_user_experience_division_total_rebalancing_value,Data grouped by user experience level based on trading days since first rebalancing - Total market value of rebalancing actions trade(buy or sell) the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,1,1,1.9,[]
oth561_user_experience_level,"Data grouped by user experience level based on trading days since first rebalancing - The level of user elapsed duration since first rebalancing action (lv 1: <20 days, lv 2: >=20 and <60 days, lv3: >=60 and <120 days, lv4: >=120 and <240 days, lv5: >= 240 days)","{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,2,2,1.9,[]
oth561_user_industry_division_buy_portfolio_num,Data grouped by user's industry diversification in past 20 trading days - The number of portfolios that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,1,1,1.9,[]
oth561_user_industry_division_buy_rebalancing_num,Data grouped by user's industry diversification in past 20 trading days - The number of rebalancing actions that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,0,0,1.9,[]
oth561_user_industry_division_buy_rebalancing_price_avg,Data grouped by user's industry diversification in past 20 trading days - Average price of rebalancing actions that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,1,1,1.9,[]
oth561_user_industry_division_buy_rebalancing_price_median,Data grouped by user's industry diversification in past 20 trading days - Median price of rebalancing actions that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,1,1,1.9,[]
oth561_user_industry_division_buy_rebalancing_share,Data grouped by user's industry diversification in past 20 trading days - Total shares of rebalancing actions that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,0,0,1.9,[]
oth561_user_industry_division_buy_rebalancing_value,Data grouped by user's industry diversification in past 20 trading days - Total market value of rebalancing actions that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,0,0,1.9,[]
oth561_user_industry_division_buy_rebalancing_weight,Data grouped by user's industry diversification in past 20 trading days - Total weight of rebalancing actions that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,1,1,1.9,[]
oth561_user_industry_division_buy_user_num,Data grouped by user's industry diversification in past 20 trading days - The number of users that buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,1,1,1.9,[]
oth561_user_industry_division_first_buy_user_num,Data grouped by user's industry diversification in past 20 trading days - The number of users who buy the stock for the first time,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,2,4,1.9,[]
oth561_user_industry_division_net_buy_portfolio_num,Data grouped by user's industry diversification in past 20 trading days - The number of portfolios that net buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,1,1,1.9,[]
oth561_user_industry_division_net_buy_user_num,Data grouped by user's industry diversification in past 20 trading days - The number of users that net buy the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,1,1,1.9,[]
oth561_user_industry_division_net_sell_portfolio_num,Data grouped by user's industry diversification in past 20 trading days - The number of portfolios that net sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,0,0,1.9,[]
oth561_user_industry_division_net_sell_user_num,Data grouped by user's industry diversification in past 20 trading days - The number of users that net sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,1,1,1.9,[]
oth561_user_industry_division_sell_portfolio_num,Data grouped by user's industry diversification in past 20 trading days - The number of portfolios that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,0,0,1.9,[]
oth561_user_industry_division_sell_rebalancing_num,Data grouped by user's industry diversification in past 20 trading days - The number of rebalancing actions that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,2,2,1.9,[]
oth561_user_industry_division_sell_rebalancing_price_avg,Data grouped by user's industry diversification in past 20 trading days - Average price of rebalancing actions that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,1,1,1.9,[]
oth561_user_industry_division_sell_rebalancing_price_median,Data grouped by user's industry diversification in past 20 trading days - Median price of rebalancing actions that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,0,0,1.9,[]
oth561_user_industry_division_sell_rebalancing_share,Data grouped by user's industry diversification in past 20 trading days - Total shares of rebalancing actions that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,0,0,1.9,[]
oth561_user_industry_division_sell_rebalancing_value,Data grouped by user's industry diversification in past 20 trading days - Total market value of rebalancing actions that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,2,2,1.9,[]
oth561_user_industry_division_sell_rebalancing_weight,Data grouped by user's industry diversification in past 20 trading days - Total weight of rebalancing actions that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,1,1,1.9,[]
oth561_user_industry_division_sell_user_num,Data grouped by user's industry diversification in past 20 trading days - The number of users that sell the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,0,0,1.9,[]
oth561_user_industry_division_total_active_portfolio_num,Data grouped by user's industry diversification in past 20 trading days - The total number of active portfolios that trade(buy or sell) the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,0,0,1.9,[]
oth561_user_industry_division_total_active_user_num,Data grouped by user's industry diversification in past 20 trading days - The total number of active users who trade(buy or sell) the stock,"{'id': 'other561', 'name': 'Retail trading activities from Virtual Portfolios'}","{'id': 'other', 'name': 'Other'}","{'id': 'other-etf-models', 'name': 'ETF Models'}",CHN,1,TOP2000U,VECTOR,1.0,1.0,3,3,1.9,[]
